RD,DATE,TIME,UCR DODE,OFFENSE,Motivation,CPD Area,DIST,BEAT,Community,Victims,Arrested,Adults,Juveniles,Disposition
HV113109,1/10/2012 0:00,2100,1320,CRIMINAL DAMAGE: TO VEHICLE, ANTI-JEWISH,Central,12,1212,WEST TOWN,1,0,,,UNDETERMINED
HV117394,1/12/2012 0:00,2359,580,STALKING: SIMPLE, ANTI-MULTIPLE RELIGIONS/GROUPS,Central,18,1822,NEAR NORTH SIDE,1,0,,,UNFOUNDED
HV119102,1/16/2012 0:00,1620,320,ROBBERY: STRONGARM - NO WEAPON, ANTI-ASIAN,Central,9,914,ARMOUR SQUARE,1,7,1,6,UNFOUNDED
HV132973,1/26/2012 0:00,1500,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-GAY (MALE),Central,18,1812,LINCOLN PARK,1,0,,,UNDETERMINED
HV139773,1/31/2012 0:00,1356,2825,OTHER OFFENSE: HARASSMENT BY TELEPHONE, ANTI-BLACK/AFRICAN-AMERICAN,Central,1,133,NEAR SOUTH SIDE,1,0,,,UNFOUNDED
HV140565,1/31/2012 0:00,2230,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-GAY (MALE),North,24,2411,WEST RIDGE,1,0,,,BONA FIDE
HV155229,2/12/2012 0:00,1130,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-BLACK/AFRICAN-AMERICAN,Central,18,1812,LINCOLN PARK,1,0,,,UNDETERMINED
HV159486,2/15/2012 0:00,1816,560,ASSAULT: SIMPLE, ANTI-WHITE,Central,12,1213,NEAR WEST SIDE,1,1,1,,UNDETERMINED
HV183392,3/4/2012 0:00,845,560,ASSAULT: SIMPLE, ANTI-JEWISH,Central,12,1211,WEST TOWN,1,0,,,UNFOUNDED
HV188252,3/8/2012 0:00,920,2826,OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS, ANTI-GAY (MALE),North,14,1414,LOGAN SQUARE,1,0,,,UNDETERMINED
HV195090,3/13/2012 0:00,415,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-WHITE,North,14,1424,WEST TOWN,1,0,,,BONA FIDE
HV204711,3/19/2012 0:00,1305,460,BATTERY: SIMPLE, ANTI-GAY (MALE),North,20,2023,EDGEWATER,1,0,,,UNDETERMINED
HV209288,3/18/2012 0:00,300,495,BATTERY: AGGRAVATED OF A SENIOR CITIZEN, ANTI-HISPANIC/LATINO,North,24,2423,ROGERS PARK,1,0,,,UNDETERMINED
HV217606,3/28/2012 0:00,530,1375,CRIMINAL DAMAGE: INSTITUTIONAL VANDALISM, ANTI-JEWISH,North,19,1925,LAKE VIEW,1,0,,,BONA FIDE
HV218355,3/28/2012 0:00,1400,558,ASSAULT: AGG PRO.EMP: OTHER DANG WEAPON, ANTI-GAY (MALE),Central,8,834,ASHBURN,1,0,,,UNFOUNDED
HV219309,3/29/2012 0:00,1000,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-BLACK/AFRICAN-AMERICAN,Central,18,1833,NEAR NORTH SIDE,1,0,,,UNDETERMINED
HV225976,4/3/2012 0:00,700,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-CATHOLIC,Central,9,913,BRIDGEPORT,1,0,,,UNFOUNDED
HV252865,4/22/2012 0:00,345,1320,CRIMINAL DAMAGE: TO VEHICLE, ANTI-GAY (MALE),North,17,1723,ALBANY PARK,1,0,,,UNDETERMINED
HV258108,4/25/2012 0:00,1840,462,BATTERY: AGG PRO EMP HANDS SERIOUS INJ, ANTI-BLACK/AFRICAN-AMERICAN,Central,18,1832,NEAR NORTH SIDE,1,1,1,,BONA FIDE
HV284651,5/12/2012 0:00,1400,560,ASSAULT: SIMPLE, ANTI-LESBIAN,Central,2,224,GRAND BOULEVARD,1,0,,,UNFOUNDED
